id,uniq_id,date_time,action_id,customer_id,quantity
1,d0557a94645e9fbe69c19e47eef41f5f,2024-09-08T00:00:00,2,51,0
2,e980a3df40378fd89590ceb31d2e4673,2024-09-08T00:00:00,1,841,10
3,bfee3abb33b4aa83f281e8ae58eedacf,2024-09-08T00:00:00,2,30,23
4,af98d1de37a92a4dce5bf63957ad5f9e,2024-09-08T00:00:00,1,300,10
5,0c6523f95c70e3d545594b98fe721bec,2024-09-08T00:00:00,3,131,16
6,9ced134e12dc2504f6f1ec6750d65dc1,2024-09-08T00:00:00,1,770,10
7,aee31ad645f5419f3eb71dd1518a66d6,2024-09-08T00:00:00,3,851,16
8,919cc9de296195511c555334d5146101,2024-09-08T00:00:00,3,560,6
9,14ed44c2e137f75eee01712980f8e70a,2024-09-08T00:00:00,0,320,22
10,48cd37165884c6a898dea54fb19ae2be,2024-09-08T00:00:00,2,821,6
11,4d10af6719f3b8c6a53ee64fec0ff0bf,2024-09-08T00:00:00,0,990,2
12,3cc916b5d0ab74e1d69f5d48e852807e,2024-09-08T00:00:00,0,121,10
13,3c4f706f24413955ac1891e04fc542ff,2024-09-08T00:00:00,1,630,6
14,ee832bce8e46abf7391f5e98f40acf19,2024-09-08T00:00:00,0,1,21
15,70f60b48f4869f1dfd321cd94c29ec06,2024-09-09T00:00:00,1,550,23
16,5811e8f810ad61f49046fffc5604028f,2024-09-09T00:00:00,1,301,11
17,cee8e332cece02f1fbf9aced857e9756,2024-09-09T00:00:00,0,530,16
18,46afb629367bd953a1610a769eab0c4d,2024-09-09T00:00:00,0,680,14
19,9465da1589e9ebb0bcded6b45ca8224f,2024-09-09T00:00:00,0,871,9
20,a270c3ab03b9c539f1fb55fe86f0cfef,2024-09-09T00:00:00,0,10,17
21,93e57d3956614a8357efa6a51e3bbb85,2024-09-09T00:00:00,0,150,7
22,bc72ee0aca38e7215c8ae01d081e6ca2,2024-09-09T00:00:00,1,351,9
23,ee513bcb80aaaafa9129a1a5d23beba2,2024-09-09T00:00:00,3,121,0
24,6be17c9d9c1a4b772c34adee8976fe00,2024-09-09T00:00:00,3,681,0
